feature,importance,importance_pct
Contract_Month-to-month,0.5536683727637873,9.791170718224004
MonthlyCharges,0.5161976670700095,9.128532044194792
tenure_group_0-6mo,0.42627250723212007,7.538279403536928
Contract_Two year,0.4024677713050376,7.117312187727144
tenure_group_4yr+,0.3859891043036912,6.825900487590568
Contract_One year,0.25120318760296007,4.442322183774016
PaymentMethod_Electronic check,0.18609243691741922,3.2908920011693232
InternetService_DSL,0.17239565463744191,3.0486756489435876
tenure_group_6-12mo,0.1686651354468076,2.9827044790882806
is_high_value,0.1551942094684154,2.744482210171959
InternetService_Fiber optic,0.1411463263731361,2.4960569282131253
tenure_group_2-4yr,0.13993750106683445,2.4746798448817673
PaymentMethod_Credit card (automatic),0.13639742665284568,2.4120765345832966
has_premium_support,0.1289598392531194,2.2805489062325615
OnlineSecurity_Yes,0.12101467389558002,2.140045178320734
